"","state","year","avg_rate","gun_laws_strength_rank","gun_laws_strength_category","abbreviated_state_name"
"1","AK","2021",24.35,41,"most lax",NA
"2","AL","2021",25.125,31,"lax",NA
"3","AR","2021",22.825,50,"most lax",NA
"4","AZ","2021",18.15,42,"most lax",NA
"5","CA","2021",9.175,1,"most strict",NA
"6","CO","2021",17.25,13,"strict",NA
"7","CT","2021",6.875,3,"most strict",NA
"8","DC","2021",25.625,10,"most strict",NA
"9","DE","2021",15.225,12,"strict",NA
"10","FL","2021",14.325,24,"moderate",NA
"11","GA","2021",19.5,28,"moderate",NA
"12","HI","2021",4.675,4,"most strict",NA
"13","IA","2021",11.025,30,"moderate",NA
"14","ID","2021",16.85,48,"most lax",NA
"15","IL","2021",14.925,8,"most strict",NA
"16","IN","2021",18.025,26,"moderate",NA
"17","KS","2021",17.275,45,"most lax",NA
"18","KY","2021",21.4,42,"most lax",NA
"19","LA","2021",28.425,34,"lax",NA
"20","MA","2021",3.525,5,"most strict",NA
"21","MD","2021",14.525,7,"most strict",NA
"22","ME","2021",12.5,29,"moderate",NA
"23","MI","2021",15.45,18,"strict",NA
"24","MN","2021",9.725,17,"strict",NA
"25","MO","2021",23.475,47,"most lax",NA
"26","MS","2021",31.5,45,"most lax",NA
"27","MT","2021",23.15,40,"lax",NA
"28","NC","2021",16.975,21,"moderate",NA
"29","ND","2021",15.45,39,"lax",NA
"30","NE","2021",10.5,20,"strict",NA
"31","NH","2021",9.5,27,"moderate",NA
"32","NJ","2021",4.975,2,"most strict",NA
"33","NM","2021",25.625,19,"strict",NA
"34","NV","2021",19.625,16,"strict",NA
"35","NY","2021",5.45,6,"most strict",NA
"36","OH","2021",15.925,25,"moderate",NA
"37","OK","2021",20.85,37,"lax",NA
"38","OR","2021",15.45,15,"strict",NA
"39","PA","2021",14.35,14,"strict",NA
"40","RI","2021",5.95,9,"most strict",NA
"41","SC","2021",21.7,32,"lax",NA
"42","SD","2021",14.75,44,"most lax",NA
"43","TN","2021",22.5,37,"lax",NA
"44","TX","2021",15.125,36,"lax",NA
"45","UT","2021",13.7,33,"lax",NA
"46","VA","2021",13.85,11,"strict",NA
"47","VT","2021",12.525,22,"moderate",NA
"48","WA","2021",11.125,10,"most strict",NA
"49","WI","2021",12.925,22,"moderate",NA
"50","WV","2021",18.075,34,"lax",NA
"51","WY","2021",25.15,49,"most lax",NA
